Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-22 16:00:56,32.81,5.08,8.34,17.38,21.47
2022-03-22 17:00:56,24.93,5.32,8.3,18.37,22.27
2022-03-22 18:00:56,26.06,5.9,8.32,20.03,23.63
2022-03-22 19:00:56,24.27,9.1,8.24,25.97,29.5
2022-03-22 20:00:56,37.58,12.22,8.24,32.98,36.59
2022-03-22 21:00:56,39.34,20.71,8.36,38.03,40.58
2022-03-22 22:00:56,46.8,12.35,8.7,52.79,56.77
2022-03-22 23:00:56,50.46,7.98,8.8,53.21,55.92
2022-03-23 00:00:56,40.18,10.26,9.04,62.08,66.12
2022-03-23 01:00:56,41.03,21.72,9.54,56.08,58.92
2022-03-23 02:00:56,48.33,11.46,9.29,64.79,70.18
2022-03-23 03:00:56,41.87,9.49,9.94,85.94,96.73
2022-03-23 04:00:56,42.35,20.68,9.77,76.61,86.18
2022-03-23 05:00:56,62.62,25.43,9.88,81.29,90.17
2022-03-23 06:00:56,55.25,28.79,9.9,75.19,84.25
2022-03-23 07:00:56,47.22,30.98,9.76,66.78,76.05
2022-03-23 08:00:56,35.68,18.39,11.55,62.58,70.88
2022-03-23 09:00:56,38.24,26.14,10.6,52.75,63.61
2022-03-23 10:00:56,49.76,23.24,12.41,46.16,55.08
2022-03-23 11:00:56,38.48,12.65,11.31,42.91,51.84
2022-03-23 12:00:56,44.33,8.14,10.57,30.42,37.29
2022-03-23 13:00:56,38.2,4.32,10.17,27.62,33.34
2022-03-23 14:00:56,47.82,3.74,9.55,23.93,29.43
2022-03-23 15:00:56,49.92,7.11,9.14,19.4,23.57
2022-03-23 16:00:56,41.84,12.74,9.18,19.9,23.87
2022-03-23 17:00:56,42.41,8.03,9.13,21.01,25.01
2022-03-23 18:00:56,37.21,5.0,9.3,24.67,27.84
2022-03-23 19:00:56,45.77,4.05,9.8,35.01,38.71
2022-03-23 20:00:56,55.56,6.66,9.84,35.01,37.95
2022-03-23 21:00:56,50.94,12.24,10.26,48.7,52.29
2022-03-23 22:00:56,48.99,17.87,9.94,41.46,44.49
2022-03-23 23:00:56,51.3,11.05,10.02,43.11,45.75
2022-03-24 00:00:56,34.15,10.22,9.65,40.13,42.43
2022-03-24 01:00:56,29.5,16.87,9.71,34.55,36.17
2022-03-24 02:00:56,0.0,0.0,0.0,0.0,0.0
