Date,PM10 ( ppb ),PM 2.5 ( mg/m3 ),SO2 ( ppb ),CO ( ppb ),NO2 ( ppb ),NOX ( ppb )
2022-03-23 16:00:56,49.88,42.83,25.41,2640.33,92.81,98.1
2022-03-23 17:00:56,53.35,32.64,22.33,2731.73,102.54,110.63
2022-03-23 18:00:56,34.12,19.09,30.6,3022.86,104.85,112.3
2022-03-23 19:00:56,63.62,48.85,46.65,3368.6,137.74,150.05
2022-03-23 20:00:56,117.97,83.31,55.02,3196.08,161.26,175.43
2022-03-23 21:00:56,145.4,109.05,107.67,3759.33,170.57,188.07
2022-03-23 22:00:56,188.76,160.76,141.74,4548.68,179.07,206.37
2022-03-23 23:00:56,154.42,119.72,101.61,3725.34,138.95,150.23
2022-03-24 00:00:56,121.15,97.92,98.3,3822.36,128.63,137.71
2022-03-24 01:00:56,100.18,75.27,81.41,3447.01,115.65,122.22
2022-03-24 02:00:56,82.4,73.27,69.26,3369.35,104.71,109.57
2022-03-24 03:00:56,56.59,53.07,50.04,3096.48,87.6,91.49
2022-03-24 04:00:56,37.79,35.15,41.84,2970.8,99.44,103.69
2022-03-24 05:00:56,39.6,35.21,26.99,2397.91,89.06,93.1
2022-03-24 06:00:56,35.79,28.9,21.01,2306.03,80.38,84.51
2022-03-24 07:00:56,42.69,28.28,22.45,2541.7,111.72,118.54
2022-03-24 08:00:56,79.09,77.45,28.91,3278.17,143.07,154.4
2022-03-24 09:00:56,99.32,84.59,30.59,2905.75,123.31,133.81
2022-03-24 10:00:56,67.54,57.12,30.51,2683.63,99.05,108.52
2022-03-24 11:00:56,90.57,68.73,38.26,3211.58,112.09,123.7
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
