Date,PM10 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-23 16:00:56,0.0,4.14,0.0,0.0
2022-03-23 17:00:56,0.0,0.0,0.0,0.0
2022-03-23 18:00:56,0.0,0.0,0.0,0.0
2022-03-23 19:00:56,0.0,290.49,0.0,0.0
2022-03-23 20:00:56,0.0,1312.5,0.0,0.0
2022-03-23 21:00:56,0.0,2411.87,0.0,0.0
2022-03-23 22:00:56,0.0,2629.5,0.0,0.0
2022-03-23 23:00:56,0.0,2706.58,0.0,0.0
2022-03-24 00:00:56,0.0,2684.02,0.0,0.0
2022-03-24 01:00:56,0.0,1428.09,0.0,0.0
2022-03-24 02:00:56,0.0,752.36,0.0,0.0
2022-03-24 03:00:56,0.0,693.03,0.0,0.0
2022-03-24 04:00:56,0.0,605.62,0.0,0.0
2022-03-24 05:00:56,0.0,607.19,0.0,0.0
2022-03-24 06:00:56,0.0,615.99,0.0,0.0
2022-03-24 07:00:56,0.0,694.1,0.0,0.0
2022-03-24 08:00:56,0.0,645.81,0.0,0.0
2022-03-24 09:00:56,0.0,1057.71,0.0,0.0
2022-03-24 10:00:56,0.0,709.76,0.0,0.0
2022-03-24 11:00:56,0.0,241.97,0.0,0.0
2022-03-24 12:00:56,0.0,0.0,0.0,0.0
