Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,18.54,14.56,1545.26,18.1,23.69,61.05
2022-03-23 17:00:56,18.89,14.27,1574.31,16.55,0.0,57.25
2022-03-23 18:00:56,12.67,19.17,1571.49,15.97,0.0,59.87
2022-03-23 19:00:56,26.51,16.67,1665.64,0.0,0.0,53.08
2022-03-23 20:00:56,82.16,14.0,1956.9,37.4,45.37,41.39
2022-03-23 21:00:56,100.61,15.26,2315.36,41.05,0.0,29.28
2022-03-23 22:00:56,87.49,16.86,2225.91,38.47,46.59,27.14
2022-03-23 23:00:56,75.2,17.41,2309.08,38.61,0.0,21.34
2022-03-24 00:00:56,57.49,15.62,2045.87,30.76,38.45,23.61
2022-03-24 01:00:56,36.63,14.23,1994.35,27.64,35.57,25.17
2022-03-24 02:00:56,29.67,13.31,2036.9,22.01,0.0,21.88
2022-03-24 03:00:56,40.96,13.13,2174.42,22.95,0.0,15.13
2022-03-24 04:00:56,42.37,12.88,2074.91,25.12,34.18,16.9
2022-03-24 05:00:56,40.17,12.46,1904.51,17.66,0.0,19.85
2022-03-24 06:00:56,29.85,12.53,1801.21,23.96,33.13,20.52
2022-03-24 07:00:56,24.63,12.25,1702.88,28.92,0.0,12.3
2022-03-24 08:00:56,33.55,13.06,2153.56,62.32,95.63,2.94
2022-03-24 09:00:56,59.26,15.33,2271.09,0.0,0.0,13.28
2022-03-24 10:00:56,14.28,12.84,1591.36,27.35,38.36,62.4
2022-03-24 11:00:56,25.15,12.59,1533.87,22.57,31.07,68.84
2022-03-24 12:00:56,27.74,12.48,1486.31,0.0,0.0,70.39
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
