Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,40.51,22.28,571.28,62.8,86.4,0.0
2022-03-23 17:00:56,51.58,15.6,418.08,61.64,83.07,0.0
2022-03-23 18:00:56,50.2,10.71,701.22,73.53,98.03,0.0
2022-03-23 19:00:56,46.14,10.83,578.97,70.89,92.36,0.0
2022-03-23 20:00:56,45.66,12.07,802.59,82.94,109.88,0.0
2022-03-23 21:00:56,46.01,19.76,639.99,97.34,129.86,0.0
2022-03-23 22:00:56,54.38,24.22,657.45,84.42,113.78,0.0
2022-03-23 23:00:56,56.7,16.68,438.22,79.8,109.87,0.0
2022-03-24 00:00:56,56.42,8.89,578.64,71.44,95.52,0.0
2022-03-24 01:00:56,49.93,13.63,355.43,64.17,82.03,0.0
2022-03-24 02:00:56,32.78,14.48,353.71,53.53,71.17,0.0
2022-03-24 03:00:56,25.43,8.64,319.83,45.14,61.48,0.0
2022-03-24 04:00:56,19.41,10.8,268.74,63.33,86.73,0.0
2022-03-24 05:00:56,18.83,14.3,337.55,58.06,83.26,0.0
2022-03-24 06:00:56,18.03,10.91,308.51,66.71,86.72,0.0
2022-03-24 07:00:56,41.06,14.65,327.45,64.58,84.25,0.0
2022-03-24 08:00:56,44.83,17.89,709.7,85.07,117.66,0.0
2022-03-24 09:00:56,29.26,21.92,532.64,101.44,153.47,0.0
2022-03-24 10:00:56,40.63,24.95,701.41,109.81,166.27,0.0
2022-03-24 11:00:56,46.95,20.35,628.29,98.11,142.4,0.0
2022-03-24 12:00:56,50.07,13.09,1942.88,92.46,129.51,0.0
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
